Avistaje ID,Focal Sample ID,Focal Animal,Focal Age-Sex Class,Time Start,FS Rev by PI,FS Rev by Assistant,Focal Data Checked by PI,Focal Data Checked by Assistant,Inter-Observer Rel,Comments,Dictaphone File Name,Time End,Dictaphone Used,Transcribed,Date of Transcription,End Early,Focal Completion,Start Focal in Sleep Tree,Start Sleep Tree ID,End Focal in Sleep Tree,End Sleep Tree ID
AV27596,FS27552,INF14B/,INF14,12/30/1899 10:33:00,0,0,0,0,0,,,12/30/1899 10:53:00,,0,5/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27596,FS27553,Lulu/,AF,12/30/1899 11:11:00,0,0,0,0,0,,,12/30/1899 11:23:00,,0,5/12/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27596,FS27554,INF14A/,INF14,12/30/1899 11:47:00,0,0,0,0,0,,,12/30/1899 12:07:00,,0,5/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27596,FS27555,INF14B/,INF14,12/30/1899 13:16:00,0,0,0,0,0,Whole focal in CD-08-018.,,12/30/1899 13:36:00,,0,5/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27596,FS27556,Luciferus/,AM,12/30/1899 13:38:00,0,0,0,0,0,,,12/30/1899 13:58:00,,0,5/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27596,FS27557,Lulu/,AF,12/30/1899 15:31:00,0,0,0,0,0,,,12/30/1899 15:51:00,,0,5/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27596,FS27558,Lulu/,AF,12/30/1899 12:28:00,0,0,0,0,0,,,12/30/1899 12:38:00,,0,5/12/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27596,FS27559,Luciferus/,AM,12/30/1899 12:52:00,0,0,0,0,0,,,12/30/1899 13:12:00,,0,5/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27596,FS27560,INF14B/,INF14,12/30/1899 16:07:00,0,0,0,0,0,,,12/30/1899 16:27:00,,0,5/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27600,FS27561,AF/,AF,12/30/1899 9:03:00,0,0,0,0,0,,,12/30/1899 9:23:00,,0,5/15/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27600,FS27562,Bongo/,AM,12/30/1899 9:33:00,0,0,0,0,0,,,12/30/1899 9:53:00,,0,5/15/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27604,FS27563,AF/,AF,12/30/1899 12:02:00,0,0,0,0,0,,,12/30/1899 12:14:00,,0,5/17/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27611,FS27564,Kong/,AM,12/30/1899 9:04:00,0,0,0,0,0,,,12/30/1899 9:10:00,,0,5/20/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27623,FS27565,Lulu/,AF,12/30/1899 8:43:00,0,0,0,0,0,,,12/30/1899 9:03:00,,0,5/25/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27623,FS27566,INF14B/,INF14,12/30/1899 7:59:00,0,0,0,0,0,,,12/30/1899 8:19:00,,0,5/25/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27623,FS27567,INF14A/,INF14,12/30/1899 8:25:00,0,0,0,0,0,,,12/30/1899 8:33:00,,0,5/25/15 0:00,0,Focal Aborted - Less than 10 minutes,0,,0,
